text,date,url,from
@sinancan77 🙏,2023-04-23 22:17:00+00:00,https://twitter.com/gertjansegers/status/1650262522241351680,gertjansegers
@sinancan77 War zit je?,2023-04-23 22:15:08+00:00,https://twitter.com/sjamaanR/status/1650262051749519361,sjamaanR
@sinancan77 Love you man,2023-04-23 22:14:37+00:00,https://twitter.com/sjamaanR/status/1650261924339228672,sjamaanR
@sinancan77 Helaas een niet zo goed keepende Cillessen.,2023-04-16 17:42:03+00:00,https://twitter.com/XandraDeGroot1/status/1647656616353755136,XandraDeGroot1
@sinancan77 Love it!! 🤩,2023-04-16 16:59:43+00:00,https://twitter.com/LunieToones/status/1647645960015675394,LunieToones
"@sinancan77 Goede profielfoto, Sinan",2023-04-16 13:09:52+00:00,https://twitter.com/j_steensma/status/1647588117204066304,j_steensma
@sinancan77 Welke vlag hang je uit bij #femicide elke 8 dagen wordt een vrouw vermoord omdat ze vrouw is,2023-04-16 12:57:11+00:00,https://twitter.com/Natuurkruid/status/1647584926676525056,Natuurkruid
@sinancan77 Alles staat jou mooi.,2023-04-16 11:45:15+00:00,https://twitter.com/Mirjammmmmm/status/1647566820876877824,Mirjammmmmm
@sinancan77 😆,2023-04-16 10:12:02+00:00,https://twitter.com/Westerhuus/status/1647543364714127361,Westerhuus
"@sinancan77 Dank Sinan, je bent een top gozer! Zo is het: love is love💗
....
En zie dat jouw bericht weer genoeg reakties krijgt van accounts die gelijk geblokkeerd kunnen worden.",2023-04-16 09:00:02+00:00,https://twitter.com/luijkx_m/status/1647525242657554434,luijkx_m
@sinancan77 Moet NEC binnenkort nog tegen Heerenveen of Cambuur spelen? Dat vind ik altijd leuke wedstrijden. 😄,2023-04-16 05:22:47+00:00,https://twitter.com/Mister_HSA/status/1647470571658018817,Mister_HSA
"@sinancan77 Man man man, wil je wat vertellen? Toch liever vrouw zijn?",2023-04-16 00:34:12+00:00,https://twitter.com/MicSm79/status/1647397948924280835,MicSm79
"@sinancan77 Vies hè 🤡
https://t.co/okYr0s9Gjj",2023-04-16 00:27:58+00:00,https://twitter.com/jan56nieuw1/status/1647396380158164993,jan56nieuw1
@sinancan77 Knapperd in kleur. 👍,2023-04-15 21:03:09+00:00,https://twitter.com/Betty_B_Me/status/1647344833516695553,Betty_B_Me
@sinancan77 Wat heeft sodomie met liefde te maken?,2023-04-15 20:34:07+00:00,https://twitter.com/jajijdaar1/status/1647337529157320705,jajijdaar1
@sinancan77 Mooi hoor 😊,2023-04-15 19:48:19+00:00,https://twitter.com/Tannie66364346/status/1647326000458395648,Tannie66364346
@sinancan77 Had altijd al een vermoeden dat je een flikker was man,2023-04-15 19:37:25+00:00,https://twitter.com/Whuss010/status/1647323260009304073,Whuss010
@sinancan77 ❤️💪,2023-04-15 18:38:58+00:00,https://twitter.com/yelenbaas/status/1647308550471811076,yelenbaas
@sinancan77 Je bent een pracht man!,2023-04-15 18:06:02+00:00,https://twitter.com/BertaSmilda/status/1647300264154521600,BertaSmilda
@sinancan77 Grweldige foto Sinan.  Hier word ik blij van.,2023-04-15 17:57:21+00:00,https://twitter.com/HolstegeGerrit/status/1647298076082593794,HolstegeGerrit
"@sinancan77 Lieve Sinan, bedankt voor je prachtige profielfoto. Je hebt een hart van goud. Big hugs! https://t.co/m9lpJQNlWH",2023-04-15 17:37:08+00:00,https://twitter.com/mvallen1970/status/1647292989444636673,mvallen1970
"@sinancan77 Lieve foto, Sinan.",2023-04-15 17:33:08+00:00,https://twitter.com/lonvankoot/status/1647291981918355456,lonvankoot
"@sinancan77 Bekijk gewoon eens kritisch deze draad en denk ZELF na

Er staat hier geen liefde voor de mens centraal. Integendeel 👇🧐

https://t.co/oMu2yYUNt9",2023-04-15 16:35:25+00:00,https://twitter.com/DTBSD2/status/1647277458356424708,DTBSD2
@sinancan77 🏳️‍🌈,2023-04-15 16:24:54+00:00,https://twitter.com/ElsBurgering/status/1647274809414369282,ElsBurgering
"@sinancan77 🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈
https://t.co/KlIN4YcrES",2023-04-15 16:09:09+00:00,https://twitter.com/nl_beyourself/status/1647270847499911174,nl_beyourself
@sinancan77 bull crap,2023-04-15 16:05:45+00:00,https://twitter.com/Eussein/status/1647269992507777026,Eussein
@sinancan77 🏳️‍⚧️🧿🏳️‍🌈🥂,2023-04-15 16:04:56+00:00,https://twitter.com/women_ze/status/1647269786752000001,women_ze
"@sinancan77 Lekker progressief, mooi man! 🤡",2023-04-15 15:54:44+00:00,https://twitter.com/KingEef/status/1647267217350840322,KingEef
@sinancan77 Mooi Sinan💕,2023-04-15 15:48:03+00:00,https://twitter.com/howerude/status/1647265538723180544,howerude
@sinancan77 https://t.co/qEvNAJ044P,2023-04-15 15:25:11+00:00,https://twitter.com/DonaldThunberg/status/1647259784440172545,DonaldThunberg
@sinancan77 Gatver wat een deugplaatje.,2023-04-15 15:24:04+00:00,https://twitter.com/KiKiBrouwer1/status/1647259503597965312,KiKiBrouwer1
@sinancan77 Respect Sinan 🙏,2023-04-15 15:15:22+00:00,https://twitter.com/Trudi78608824/status/1647257313550508033,Trudi78608824
@sinancan77 Geweldig❤️❤️❤️,2023-04-15 15:00:21+00:00,https://twitter.com/KweldamLies/status/1647253533589159936,KweldamLies
"@sinancan77 Dat is ook wat die pedofielen zeggen, ""Liefde is liefde."" 

Is dat echt een argument?",2023-04-15 14:52:22+00:00,https://twitter.com/MusaHakeem010/status/1647251526149087232,MusaHakeem010
@sinancan77 👍❣️,2023-04-15 14:49:47+00:00,https://twitter.com/LoekeRichter/status/1647250873741979649,LoekeRichter
"@sinancan77 Prima Sinan, maar die agressieve opdringerigheid van de T community komt me de strot uit. Totaal geen probleem met LHB.",2023-04-15 14:49:33+00:00,https://twitter.com/nanster211/status/1647250816179351553,nanster211
@sinancan77 😘,2023-04-15 14:43:22+00:00,https://twitter.com/nijn1966/status/1647249260306391041,nijn1966
@sinancan77 Chief!❤,2023-04-15 14:37:28+00:00,https://twitter.com/sjamaanR/status/1647247774910390272,sjamaanR
@sinancan77 Dank Sinan,2023-04-15 14:32:42+00:00,https://twitter.com/daniellebraunOL/status/1647246574471245826,daniellebraunOL
@sinancan77 Dus dat! 🌈🥰,2023-04-15 14:31:23+00:00,https://twitter.com/bdmhanna/status/1647246245277073408,bdmhanna
"@sinancan77 Ja! Dat ga ik doen, heel benieuwd naar.",2023-04-11 13:51:45+00:00,https://twitter.com/Sterrevb7/status/1645786717637738496,Sterrevb7
@sinancan77 @denieuwsbv @NPORadio1 Dank voor je snelle reactie.,2023-04-10 10:44:39+00:00,https://twitter.com/loesjesz/status/1645377243034578945,loesjesz
@sinancan77 Die turk begint nu toch wel behoorlijk irritant te worden door zoveel zendtijd in beslag te nemen.,2023-04-09 13:31:06+00:00,https://twitter.com/BillKilgore57/status/1645056744945508355,BillKilgore57
@sinancan77 Wat je niet allemaal mag als veroordeelde met een strafblad. Jij krijgt nog betaald ook.,2023-04-09 01:38:10+00:00,https://twitter.com/Dwight07778281/status/1644877329561255936,Dwight07778281
@sinancan77 Jammer hoe je Mesopotamië en Rumi als Turk toe eigent zonder 1 keer Iran te noemen.,2023-04-01 17:16:11+00:00,https://twitter.com/BehzadB85/status/1642214288264757248,BehzadB85
"@sinancan77 Waarom niet terug naar hem moeder asiel kinderen later groot tegen Nederland.
Voor de vijleghijt van Nederland Europa Europese Unie asiel kinderen terug naar hem moeder vader opa oma.",2023-03-31 19:38:47+00:00,https://twitter.com/mfahmedmusad1/status/1641887783391318028,mfahmedmusad1
"@sinancan77 Inderdaad, gewoon daar laten waar ze vandaan komen. De volwassenen overigens ook.",2023-03-31 16:16:20+00:00,https://twitter.com/JvdGr1jn/status/1641836836535369728,JvdGr1jn
@sinancan77 Stuur ze dan meteen terug naar de familie die ze vooruit stuurde om asiel aan te vragen.,2023-03-31 15:08:09+00:00,https://twitter.com/benjola1000/status/1641819679143469058,benjola1000
"@sinancan77 De laatste verhuizing, na het land van herkomst .",2023-03-31 14:51:06+00:00,https://twitter.com/graf_frans/status/1641815386713649153,graf_frans
"@sinancan77 Stop met asielkinderen toelaten!

Kind alleen naar NL, terugsturen naar ouders ...",2023-03-31 14:27:06+00:00,https://twitter.com/TD651226/status/1641809345993142272,TD651226
@sinancan77 Terug naar ouders in buitenland is beste optie. Kinderen hier stoppen is niet wenselijk,2023-03-31 14:14:04+00:00,https://twitter.com/waarheid66/status/1641806065816817664,waarheid66
@sinancan77 Inderdaad! Wijs ze uit naar land van herkomst!,2023-03-31 11:09:39+00:00,https://twitter.com/TTHAgain/status/1641759657466163210,TTHAgain
@sinancan77 De ouders van deze kinderen zijn hier verantwoordelijk voor. Snap niet dat ouders dit hun kinderen aan doen.,2023-03-31 10:44:31+00:00,https://twitter.com/Yolipost/status/1641753333110132736,Yolipost
@sinancan77 😹,2023-03-31 10:32:04+00:00,https://twitter.com/hitje89/status/1641750197804908546,hitje89
@sinancan77 Daar zijn de ouders zelf mee begonnen. Val ons hier niet mee lastig,2023-03-31 09:57:43+00:00,https://twitter.com/BettyV66184629/status/1641741555823198210,BettyV66184629
@sinancan77 Waar is de verantwoordelijkheid van de ouders in deze Sinan?,2023-03-31 09:38:55+00:00,https://twitter.com/moeva18/status/1641736825516457985,moeva18
@sinancan77 Stop met het opvangen van zogenaamde asielzoekers,2023-03-31 09:14:44+00:00,https://twitter.com/MichelWijgerden/status/1641730739417890816,MichelWijgerden
"@sinancan77 Opzich goed punt hoor. Het probleem is alleen dat heel veel kinderen (ook niet asielkinderen) heel vaak moeten verhuiznen in Nederland.

Soms hebben ze zelf geen eens een huis(wooncrisis). Dus het is atm helaas roeien met de riemen.",2023-03-31 09:12:50+00:00,https://twitter.com/TomTwamery/status/1641730259975372800,TomTwamery
@sinancan77 Ze moeten terug!,2023-03-31 08:48:19+00:00,https://twitter.com/opinievictor/status/1641724092054138880,opinievictor
@sinancan77 Stop dan direct vluchtelingen werken om de mensensmokkelaars tegemoet te varen zonder vreemdelingen politie. En ze tegen te houden op de grens in eigen wateren. Dat kan en mag. Mensensmokkelaars doe de kinderen beschadigen+ de ouders die ze ook zonder hen met de smokkelaars 👇,2023-03-31 08:47:51+00:00,https://twitter.com/Jes22857720/status/1641723971862233088,Jes22857720
